행정구역,2023년_계_총인구수,2023년_계_연령구간인구수,2023년_계_0~4세,2023년_계_5~9세,2023년_계_10~14세,2023년_계_15~19세,2023년_계_20~24세,2023년_계_25~29세,2023년_계_30~34세,2023년_계_35~39세,2023년_계_40~44세,2023년_계_45~49세,2023년_계_50~54세,2023년_계_55~59세,2023년_계_60~64세,2023년_계_65~69세,2023년_계_70~74세,2023년_계_75~79세,2023년_계_80~84세,2023년_계_85~89세,2023년_계_90~94세,2023년_계_95~99세,2023년_계_100세 이상,2023년_남_총인구수,2023년_남_연령구간인구수,2023년_남_0~4세,2023년_남_5~9세,2023년_남_10~14세,2023년_남_15~19세,2023년_남_20~24세,2023년_남_25~29세,2023년_남_30~34세,2023년_남_35~39세,2023년_남_40~44세,2023년_남_45~49세,2023년_남_50~54세,2023년_남_55~59세,2023년_남_60~64세,2023년_남_65~69세,2023년_남_70~74세,2023년_남_75~79세,2023년_남_80~84세,2023년_남_85~89세,2023년_남_90~94세,2023년_남_95~99세,2023년_남_100세 이상,2023년_여_총인구수,2023년_여_연령구간인구수,2023년_여_0~4세,2023년_여_5~9세,2023년_여_10~14세,2023년_여_15~19세,2023년_여_20~24세,2023년_여_25~29세,2023년_여_30~34세,2023년_여_35~39세,2023년_여_40~44세,2023년_여_45~49세,2023년_여_50~54세,2023년_여_55~59세,2023년_여_60~64세,2023년_여_65~69세,2023년_여_70~74세,2023년_여_75~79세,2023년_여_80~84세,2023년_여_85~89세,2023년_여_90~94세,2023년_여_95~99세,2023년_여_100세 이상
서울특별시  (1100000000),9386034 ,9386034 ,213014 ,300548 ,355014 ,378197 ,555058 ,800753 ,777975 ,649430 ,737027 ,683046 ,793687 ,701870 ,706835 ,609103 ,417048 ,321421 ,228831 ,110383 ,36809 ,8537 ,1448 ,4540031 ,4540031 ,109615 ,153833 ,182333 ,193013 ,260394 ,382835 ,390093 ,323822 ,365462 ,337539 ,391756 ,343004 ,338627 ,284228 ,191108 ,142967 ,97049 ,39975 ,10239 ,1820 ,319 ,4846003 ,4846003 ,103399 ,146715 ,172681 ,185184 ,294664 ,417918 ,387882 ,325608 ,371565 ,345507 ,401931 ,358866 ,368208 ,324875 ,225940 ,178454 ,131782 ,70408 ,26570 ,6717 ,1129 
서울특별시 서울특별시 종로구 (1111000000),139417 ,139417 ,2342 ,3577 ,4540 ,5199 ,9113 ,12383 ,10882 ,8440 ,9783 ,9411 ,12414 ,11501 ,11332 ,9357 ,6218 ,5285 ,4328 ,2316 ,760 ,201 ,35 ,67306 ,67306 ,1203 ,1786 ,2225 ,2551 ,4125 ,6049 ,5508 ,4140 ,4767 ,4524 ,6151 ,5703 ,5717 ,4648 ,2922 ,2289 ,1802 ,872 ,260 ,55 ,9 ,72111 ,72111 ,1139 ,1791 ,2315 ,2648 ,4988 ,6334 ,5374 ,4300 ,5016 ,4887 ,6263 ,5798 ,5615 ,4709 ,3296 ,2996 ,2526 ,1444 ,500 ,146 ,26 
서울특별시 서울특별시 중구 (1114000000),121312 ,121312 ,2687 ,2943 ,2898 ,3258 ,6727 ,10810 ,11558 ,9306 ,9104 ,7665 ,9725 ,9343 ,9763 ,8570 ,5766 ,4725 ,3669 ,1892 ,704 ,172 ,27 ,58659 ,58659 ,1378 ,1501 ,1479 ,1611 ,3067 ,4912 ,5739 ,4693 ,4618 ,3926 ,4804 ,4725 ,4914 ,4223 ,2710 ,2025 ,1488 ,613 ,183 ,45 ,5 ,62653 ,62653 ,1309 ,1442 ,1419 ,1647 ,3660 ,5898 ,5819 ,4613 ,4486 ,3739 ,4921 ,4618 ,4849 ,4347 ,3056 ,2700 ,2181 ,1279 ,521 ,127 ,22 
서울특별시 서울특별시 용산구 (1117000000),213151 ,213151 ,5068 ,6021 ,6394 ,7226 ,11634 ,18469 ,20723 ,16687 ,16789 ,14499 ,18203 ,16114 ,16085 ,13241 ,8650 ,6972 ,5633 ,3272 ,1150 ,265 ,56 ,102312 ,102312 ,2604 ,3056 ,3288 ,3641 ,5247 ,8602 ,10305 ,8310 ,8403 ,7067 ,8816 ,7949 ,7899 ,6395 ,3950 ,2930 ,2274 ,1135 ,362 ,67 ,12 ,110839 ,110839 ,2464 ,2965 ,3106 ,3585 ,6387 ,9867 ,10418 ,8377 ,8386 ,7432 ,9387 ,8165 ,8186 ,6846 ,4700 ,4042 ,3359 ,2137 ,788 ,198 ,44 
서울특별시 서울특별시 성동구 (1120000000),277361 ,277361 ,7856 ,9037 ,8340 ,9511 ,17016 ,23963 ,23946 ,21718 ,22162 ,18764 ,23174 ,21275 ,21339 ,17239 ,11350 ,9057 ,6892 ,3425 ,1036 ,217 ,44 ,134519 ,134519 ,4089 ,4601 ,4192 ,4732 ,8001 ,11820 ,11662 ,10695 ,11243 ,9282 ,11307 ,10563 ,10594 ,8289 ,5246 ,3880 ,2795 ,1181 ,282 ,51 ,14 ,142842 ,142842 ,3767 ,4436 ,4148 ,4779 ,9015 ,12143 ,12284 ,11023 ,10919 ,9482 ,11867 ,10712 ,10745 ,8950 ,6104 ,5177 ,4097 ,2244 ,754 ,166 ,30 
서울특별시 서울특별시 광진구 (1121500000),335554 ,335554 ,6290 ,8918 ,11253 ,12551 ,22861 ,35988 ,31547 ,23396 ,24921 ,23182 ,27592 ,25564 ,25030 ,20506 ,13282 ,10289 ,7362 ,3566 ,1135 ,278 ,43 ,161277 ,161277 ,3182 ,4606 ,5755 ,6247 ,10468 ,16829 ,15846 ,11577 ,12133 ,11440 ,13360 ,12484 ,12093 ,9672 ,6130 ,4610 ,3157 ,1285 ,324 ,66 ,13 ,174277 ,174277 ,3108 ,4312 ,5498 ,6304 ,12393 ,19159 ,15701 ,11819 ,12788 ,11742 ,14232 ,13080 ,12937 ,10834 ,7152 ,5679 ,4205 ,2281 ,811 ,212 ,30 
서울특별시 서울특별시 동대문구 (1123000000),341149 ,341149 ,7940 ,10362 ,10801 ,11806 ,25711 ,31161 ,26698 ,22764 ,25776 ,22919 ,27412 ,25128 ,25881 ,22675 ,15631 ,12717 ,9556 ,4524 ,1347 ,283 ,57 ,167346 ,167346 ,4016 ,5282 ,5587 ,5901 ,11368 ,15637 ,13778 ,11694 ,13218 ,11850 ,13796 ,12717 ,12771 ,10867 ,7262 ,5495 ,3990 ,1664 ,384 ,58 ,11 ,173803 ,173803 ,3924 ,5080 ,5214 ,5905 ,14343 ,15524 ,12920 ,11070 ,12558 ,11069 ,13616 ,12411 ,13110 ,11808 ,8369 ,7222 ,5566 ,2860 ,963 ,225 ,46 
서울특별시 서울특별시 중랑구 (1126000000),382155 ,382155 ,8519 ,10595 ,11541 ,12419 ,19480 ,30562 ,31756 ,26061 ,28233 ,24906 ,31984 ,32746 ,34562 ,28756 ,18909 ,14360 ,10256 ,4624 ,1462 ,371 ,53 ,187372 ,187372 ,4291 ,5447 ,5939 ,6330 ,9242 ,14752 ,16018 ,13454 ,14807 ,12885 ,15963 ,15971 ,16829 ,13814 ,8834 ,6359 ,4284 ,1712 ,363 ,70 ,8 ,194783 ,194783 ,4228 ,5148 ,5602 ,6089 ,10238 ,15810 ,15738 ,12607 ,13426 ,12021 ,16021 ,16775 ,17733 ,14942 ,10075 ,8001 ,5972 ,2912 ,1099 ,301 ,45 
서울특별시 서울특별시 성북구 (1129000000),425602 ,425602 ,9796 ,14301 ,16497 ,18505 ,31557 ,33136 ,29275 ,26838 ,32296 ,31140 ,38592 ,32357 ,31080 ,26920 ,18518 ,15112 ,11803 ,5608 ,1773 ,439 ,59 ,204171 ,204171 ,5049 ,7319 ,8394 ,9397 ,14178 ,16247 ,14862 ,13237 ,16009 ,15178 ,19005 ,15943 ,14767 ,12468 ,8286 ,6343 ,4862 ,2012 ,515 ,85 ,15 ,221431 ,221431 ,4747 ,6982 ,8103 ,9108 ,17379 ,16889 ,14413 ,13601 ,16287 ,15962 ,19587 ,16414 ,16313 ,14452 ,10232 ,8769 ,6941 ,3596 ,1258 ,354 ,44 
서울특별시 서울특별시 강북구 (1130500000),288113 ,288113 ,4546 ,7029 ,9012 ,10129 ,16825 ,21330 ,19048 ,15949 ,19890 ,20012 ,25817 ,24448 ,25605 ,22251 ,16211 ,13549 ,10260 ,4551 ,1309 ,295 ,47 ,139514 ,139514 ,2329 ,3620 ,4689 ,5067 ,7673 ,10553 ,10007 ,8424 ,10438 ,10155 ,12919 ,11940 ,12211 ,10371 ,7094 ,5656 ,4182 ,1731 ,379 ,63 ,13 ,148599 ,148599 ,2217 ,3409 ,4323 ,5062 ,9152 ,10777 ,9041 ,7525 ,9452 ,9857 ,12898 ,12508 ,13394 ,11880 ,9117 ,7893 ,6078 ,2820 ,930 ,232 ,34 
서울특별시 서울특별시 도봉구 (1132000000),306948 ,306948 ,5568 ,8674 ,10569 ,11803 ,16584 ,20855 ,20022 ,17585 ,21487 ,21027 ,27537 ,26726 ,28137 ,24841 ,16221 ,12743 ,9926 ,4651 ,1571 ,363 ,58 ,148796 ,148796 ,2874 ,4491 ,5447 ,6136 ,8141 ,10505 ,10348 ,8977 ,10917 ,10410 ,13248 ,12631 ,13276 ,11712 ,7601 ,5710 ,4175 ,1659 ,435 ,88 ,15 ,158152 ,158152 ,2694 ,4183 ,5122 ,5667 ,8443 ,10350 ,9674 ,8608 ,10570 ,10617 ,14289 ,14095 ,14861 ,13129 ,8620 ,7033 ,5751 ,2992 ,1136 ,275 ,43 
서울특별시 서울특별시 노원구 (1135000000),498213 ,498213 ,10622 ,15803 ,21427 ,25745 ,33328 ,32973 ,31961 ,29061 ,36722 ,38679 ,46871 ,39570 ,39142 ,33975 ,22567 ,17146 ,12976 ,6677 ,2351 ,532 ,85 ,239117 ,239117 ,5573 ,8063 ,11119 ,13312 ,16817 ,16774 ,15982 ,14618 ,17669 ,18318 ,22579 ,19091 ,18288 ,15588 ,10214 ,7224 ,5016 ,2130 ,616 ,109 ,17 ,259096 ,259096 ,5049 ,7740 ,10308 ,12433 ,16511 ,16199 ,15979 ,14443 ,19053 ,20361 ,24292 ,20479 ,20854 ,18387 ,12353 ,9922 ,7960 ,4547 ,1735 ,423 ,68 
서울특별시 서울특별시 은평구 (1138000000),466770 ,466770 ,10135 ,14139 ,16807 ,18732 ,25747 ,36048 ,36022 ,30331 ,36047 ,34194 ,41421 ,36416 ,37166 ,31678 ,22049 ,17786 ,13352 ,6393 ,1851 ,399 ,57 ,221725 ,221725 ,5229 ,7153 ,8585 ,9612 ,12374 ,16470 ,17514 ,14874 ,18004 ,16712 ,20081 ,17424 ,17447 ,14391 ,9704 ,7596 ,5559 ,2364 ,535 ,82 ,15 ,245045 ,245045 ,4906 ,6986 ,8222 ,9120 ,13373 ,19578 ,18508 ,15457 ,18043 ,17482 ,21340 ,18992 ,19719 ,17287 ,12345 ,10190 ,7793 ,4029 ,1316 ,317 ,42 
서울특별시 서울특별시 서대문구 (1141000000),306231 ,306231 ,7339 ,10184 ,10689 ,11434 ,21425 ,27007 ,24012 ,20895 ,23039 ,21214 ,25955 ,22938 ,22512 ,18849 ,12887 ,10789 ,8817 ,4474 ,1416 ,294 ,62 ,145404 ,145404 ,3787 ,5166 ,5410 ,5640 ,9459 ,13064 ,11853 ,10197 ,11479 ,10419 ,12504 ,11105 ,10718 ,8775 ,5705 ,4508 ,3491 ,1641 ,409 ,61 ,13 ,160827 ,160827 ,3552 ,5018 ,5279 ,5794 ,11966 ,13943 ,12159 ,10698 ,11560 ,10795 ,13451 ,11833 ,11794 ,10074 ,7182 ,6281 ,5326 ,2833 ,1007 ,233 ,49 
서울특별시 서울특별시 마포구 (1144000000),363697 ,363697 ,8692 ,11936 ,12677 ,13798 ,23274 ,35626 ,34825 ,28982 ,29868 ,27066 ,30967 ,25067 ,23415 ,18942 ,12955 ,10772 ,8625 ,4366 ,1479 ,315 ,50 ,169990 ,169990 ,4463 ,6072 ,6406 ,6826 ,10150 ,15692 ,16456 ,13690 ,14484 ,13063 ,15092 ,12143 ,11287 ,8649 ,5560 ,4378 ,3494 ,1538 ,462 ,76 ,9 ,193707 ,193707 ,4229 ,5864 ,6271 ,6972 ,13124 ,19934 ,18369 ,15292 ,15384 ,14003 ,15875 ,12924 ,12128 ,10293 ,7395 ,6394 ,5131 ,2828 ,1017 ,239 ,41 
서울특별시 서울특별시 양천구 (1147000000),436028 ,436028 ,8991 ,16388 ,23414 ,24320 ,24108 ,28416 ,27490 ,25582 ,35658 ,36875 ,40464 ,34359 ,33837 ,28804 ,19142 ,13269 ,8673 ,4212 ,1611 ,350 ,65 ,212835 ,212835 ,4684 ,8346 ,12146 ,12727 ,12246 ,14166 ,13925 ,12454 ,16937 ,17771 ,20066 ,16886 ,16341 ,13488 ,9102 ,6091 ,3628 ,1377 ,365 ,76 ,13 ,223193 ,223193 ,4307 ,8042 ,11268 ,11593 ,11862 ,14250 ,13565 ,13128 ,18721 ,19104 ,20398 ,17473 ,17496 ,15316 ,10040 ,7178 ,5045 ,2835 ,1246 ,274 ,52 
서울특별시 서울특별시 강서구 (1150000000),563058 ,563058 ,13345 ,17844 ,20484 ,21333 ,29402 ,49776 ,53819 ,42835 ,46070 ,40350 ,43918 ,39261 ,42813 ,37545 ,25456 ,18150 ,11944 ,5909 ,2179 ,543 ,82 ,269822 ,269822 ,6782 ,9092 ,10597 ,10870 ,13637 ,22177 ,26408 ,21788 ,23343 ,20049 ,21767 ,18619 ,19924 ,17045 ,11764 ,8435 ,4914 ,1956 ,546 ,93 ,16 ,293236 ,293236 ,6563 ,8752 ,9887 ,10463 ,15765 ,27599 ,27411 ,21047 ,22727 ,20301 ,22151 ,20642 ,22889 ,20500 ,13692 ,9715 ,7030 ,3953 ,1633 ,450 ,66 
서울특별시 서울특별시 구로구 (1153000000),392405 ,392405 ,10031 ,12403 ,13994 ,14224 ,20044 ,30827 ,32787 ,28312 ,30670 ,27732 ,32043 ,29879 ,31082 ,27579 ,19805 ,14752 ,9921 ,4562 ,1384 ,325 ,49 ,192341 ,192341 ,5202 ,6331 ,7057 ,7304 ,9664 ,14863 ,16454 ,14673 ,15743 ,14097 ,16032 ,14656 ,14893 ,12855 ,9162 ,6898 ,4320 ,1685 ,383 ,60 ,9 ,200064 ,200064 ,4829 ,6072 ,6937 ,6920 ,10380 ,15964 ,16333 ,13639 ,14927 ,13635 ,16011 ,15223 ,16189 ,14724 ,10643 ,7854 ,5601 ,2877 ,1001 ,265 ,40 
서울특별시 서울특별시 금천구 (1154500000),227481 ,227481 ,4480 ,5404 ,6085 ,6842 ,11623 ,23351 ,22385 ,15569 ,15387 ,14157 ,18412 ,19102 ,20153 ,16172 ,10874 ,8211 ,5739 ,2530 ,807 ,166 ,32 ,114414 ,114414 ,2297 ,2739 ,3098 ,3435 ,5429 ,11419 ,12266 ,8615 ,8402 ,7413 ,9324 ,9519 ,10086 ,7813 ,5142 ,3757 ,2468 ,919 ,233 ,32 ,8 ,113067 ,113067 ,2183 ,2665 ,2987 ,3407 ,6194 ,11932 ,10119 ,6954 ,6985 ,6744 ,9088 ,9583 ,10067 ,8359 ,5732 ,4454 ,3271 ,1611 ,574 ,134 ,24 
서울특별시 서울특별시 영등포구 (1156000000),374794 ,374794 ,10377 ,11800 ,11307 ,11646 ,19498 ,37515 ,39977 ,30917 ,29285 ,24702 ,28768 ,26607 ,26552 ,22583 ,15682 ,12225 ,9010 ,4518 ,1468 ,298 ,59 ,183726 ,183726 ,5330 ,6001 ,5720 ,6115 ,8750 ,17126 ,19935 ,15947 ,15142 ,12651 ,14474 ,13503 ,13228 ,10874 ,7293 ,5526 ,3828 ,1740 ,454 ,73 ,16 ,191068 ,191068 ,5047 ,5799 ,5587 ,5531 ,10748 ,20389 ,20042 ,14970 ,14143 ,12051 ,14294 ,13104 ,13324 ,11709 ,8389 ,6699 ,5182 ,2778 ,1014 ,225 ,43 
서울특별시 서울특별시 동작구 (1159000000),378769 ,378769 ,8463 ,11608 ,12472 ,13522 ,25531 ,38194 ,33403 ,26463 ,28478 ,26143 ,30329 ,26982 ,27092 ,23490 ,16822 ,13593 ,9589 ,4670 ,1507 ,363 ,55 ,183153 ,183153 ,4365 ,5872 ,6381 ,6927 ,11936 ,18846 ,16996 ,13410 ,14359 ,12985 ,14846 ,12958 ,12739 ,10743 ,7421 ,5877 ,4227 ,1731 ,431 ,88 ,15 ,195616 ,195616 ,4098 ,5736 ,6091 ,6595 ,13595 ,19348 ,16407 ,13053 ,14119 ,13158 ,15483 ,14024 ,14353 ,12747 ,9401 ,7716 ,5362 ,2939 ,1076 ,275 ,40 
서울특별시 서울특별시 관악구 (1162000000),481956 ,481956 ,7080 ,9400 ,11193 ,13886 ,35441 ,71938 ,55349 ,33091 ,32482 ,29223 ,34530 ,31276 ,32305 ,28113 ,21080 ,16734 ,11922 ,5037 ,1506 ,317 ,53 ,242651 ,242651 ,3607 ,4886 ,5741 ,6973 ,15855 ,36204 ,31031 ,18441 ,17655 ,15458 ,18050 ,15618 ,15498 ,12961 ,9549 ,7386 ,5287 ,1958 ,425 ,58 ,10 ,239305 ,239305 ,3473 ,4514 ,5452 ,6913 ,19586 ,35734 ,24318 ,14650 ,14827 ,13765 ,16480 ,15658 ,16807 ,15152 ,11531 ,9348 ,6635 ,3079 ,1081 ,259 ,43 
서울특별시 서울특별시 서초구 (1165000000),407664 ,407664 ,10409 ,17409 ,22689 ,22117 ,22132 ,27766 ,29084 ,27879 ,36305 ,35939 ,37401 ,27807 ,25186 ,22819 ,16340 ,12706 ,7966 ,3886 ,1397 ,364 ,63 ,194291 ,194291 ,5443 ,8821 ,11562 ,11113 ,10639 ,13159 ,13787 ,12583 ,16573 ,16859 ,18544 ,13720 ,11839 ,10517 ,7355 ,5852 ,3779 ,1601 ,443 ,87 ,15 ,213373 ,213373 ,4966 ,8588 ,11127 ,11004 ,11493 ,14607 ,15297 ,15296 ,19732 ,19080 ,18857 ,14087 ,13347 ,12302 ,8985 ,6854 ,4187 ,2285 ,954 ,277 ,48 
서울특별시 서울특별시 강남구 (1168000000),544873 ,544873 ,12030 ,20975 ,30906 ,30902 ,28998 ,38587 ,41044 ,37727 ,49465 ,49512 ,49496 ,36271 ,32526 ,30284 ,22048 ,16780 ,10024 ,4888 ,1831 ,490 ,89 ,260520 ,260520 ,6195 ,10812 ,16214 ,16049 ,14063 ,17794 ,19716 ,17110 ,22055 ,23362 ,24801 ,17981 ,15570 ,13638 ,9889 ,7921 ,4772 ,1925 ,533 ,104 ,16 ,284353 ,284353 ,5835 ,10163 ,14692 ,14853 ,14935 ,20793 ,21328 ,20617 ,27410 ,26150 ,24695 ,18290 ,16956 ,16646 ,12159 ,8859 ,5252 ,2963 ,1298 ,386 ,73 
서울특별시 서울특별시 송파구 (1171000000),654166 ,654166 ,17488 ,25826 ,29166 ,28287 ,34107 ,50512 ,55032 ,49757 ,57238 ,49225 ,53700 ,47334 ,47851 ,41887 ,27571 ,19105 ,11594 ,5652 ,2213 ,530 ,91 ,314347 ,314347 ,9000 ,13408 ,14863 ,14395 ,16543 ,23277 ,26301 ,23735 ,27497 ,24148 ,25883 ,22764 ,22506 ,19556 ,13227 ,9231 ,5249 ,2092 ,543 ,111 ,18 ,339819 ,339819 ,8488 ,12418 ,14303 ,13892 ,17564 ,27235 ,28731 ,26022 ,29741 ,25077 ,27817 ,24570 ,25345 ,22331 ,14344 ,9874 ,6345 ,3560 ,1670 ,419 ,73 
서울특별시 서울특별시 강동구 (1174000000),459167 ,459167 ,12920 ,17972 ,19859 ,19002 ,22892 ,33560 ,35330 ,33285 ,39872 ,34510 ,36962 ,33799 ,36389 ,32027 ,21014 ,14594 ,8994 ,4180 ,1562 ,367 ,77 ,224423 ,224423 ,6643 ,9362 ,10439 ,10102 ,11322 ,15898 ,17396 ,16486 ,19567 ,17517 ,18344 ,16391 ,17192 ,14876 ,9986 ,6990 ,4008 ,1454 ,374 ,62 ,14 ,234744 ,234744 ,6277 ,8610 ,9420 ,8900 ,11570 ,17662 ,17934 ,16799 ,20305 ,16993 ,18618 ,17408 ,19197 ,17151 ,11028 ,7604 ,4986 ,2726 ,1188 ,305 ,63 
